 0 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- 28 -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
Scan finished
Configure finished
BNO055 initialisation finished
X:-45 Y:-57 Z:951
X:-49 Y:-48 Z:949
X:-49 Y:-49 Z:947
X:-42 Y:-56 Z:952
X:-43 Y:-50 Z:950
X:-53 Y:-56 Z:941
X:-35 Y:-56 Z:946
X:-44 Y:-58 Z:937
X:-45 Y:-45 Z:940
X:-47 Y:-48 Z:937
X:-46 Y:-54 Z:946
X:-49 Y:-57 Z:935
X:-41 Y:-55 Z:943
X:-48 Y:-57 Z:944
X:-45 Y:-52 Z:941
X:-43 Y:-52 Z:934
X:-51 Y:-61 Z:948
X:-42 Y:-54 Z:946
X:-45 Y:-55 Z:945
X:-44 Y:-57 Z:944
X:-43 Y:-49 Z:959
X:-39 Y:-47 Z:937
X:-45 Y:-56 Z:951
X:-39 Y:-54 Z:942
X:-46 Y:-57 Z:945
X:-44 Y:-55 Z:944
X:-35 Y:-51 Z:946
X:-36 Y:-52 Z:952
X:-46 Y:-53 Z:944
X:-40 Y:-48 Z:948
X:-49 Y:-60 Z:944
X:-40 Y:-50 Z:951
X:-46 Y:-56 Z:948
X:-47 Y:-52 Z:935
X:-44 Y:-49 Z:937
X:-48 Y:-58 Z:951
X:-44 Y:-55 Z:942
X:-44 Y:-58 Z:947
X:-40 Y:-52 Z:942
X:-46 Y:-54 Z:952
X:-48 Y:-59 Z:951
X:-50 Y:-49 Z:937
X:-50 Y:-56 Z:935
X:-40 Y:-54 Z:949
X:-46 Y:-50 Z:943
X:-44 Y:-52 Z:952
X:-49 Y:-52 Z:947
X:-41 Y:-56 Z:934
X:-45 Y:-54 Z:950
X:-43 Y:-57 Z:953
X:-36 Y:-56 Z:936
X:-40 Y:-57 Z:949
X:-40 Y:-52 Z:951
X:-42 Y:-51 Z:945
X:-48 Y:-51 Z:949
X:-46 Y:-53 Z:946
X:-40 Y:-56 Z:946
X:-46 Y:-59 Z:947
X:-38 Y:-55 Z:939
X:-41 Y:-59 Z:941
X:-52 Y:-56 Z:944
X:-39 Y:-52 Z:944
X:-43 Y:-51 Z:944
X:-46 Y:-57 Z:947
X:-44 Y:-48 Z:939
X:-45 Y:-53 Z:943
X:-53 Y:-59 Z:937
X:-42 Y:-50 Z:940
X:-51 Y:-59 Z:943
X:-41 Y:-57 Z:934
X:-40 Y:-56 Z:942
X:-46 Y:-52 Z:950
X:-40 Y:-55 Z:948
X:-45 Y:-59 Z:948
X:-42 Y:-56 Z:959
X:-44 Y:-56 Z:947
X:-48 Y:-58 Z:950
X:-44 Y:-52 Z:940
X:-43 Y:-55 Z:945
X:-37 Y:-57 Z:947
X:-40 Y:-50 Z:947
X:-45 Y:-60 Z:944
X:-38 Y:-53 Z:948
X:-54 Y:-49 Z:942
X:-46 Y:-49 Z:948
X:-38 Y:-52 Z:946
X:-43 Y:-63 Z:951
X:-44 Y:-55 Z:945
X:-40 Y:-57 Z:942
X:-46 Y:-58 Z:949
X:-45 Y:-58 Z:933
X:-44 Y:-58 Z:949
X:-47 Y:-58 Z:947
X:-42 Y:-45 Z:945
X:-50 Y:-52 Z:938
X:-44 Y:-49 Z:942
X:-48 Y:-51 Z:948
X:-51 Y:-52 Z:945
X:-40 Y:-56 Z:952
X:-52 Y:-47 Z:942
X:-55 Y:-50 Z:942
X:-44 Y:-56 Z:949
X:-43 Y:-57 Z:948
X:-39 Y:-54 Z:945
X:-48 Y:-51 Z:940
X:-42 Y:-44 Z:946
X:-42 Y:-53 Z:943
X:-47 Y:-57 Z:946
X:-37 Y:-45 Z:947
X:-44 Y:-59 Z:951
X:-45 Y:-53 Z:942
X:-51 Y:-51 Z:941
X:-44 Y:-62 Z:941
X:-44 Y:-50 Z:953
X:-42 Y:-63 Z:943
X:-41 Y:-54 Z:949
X:-45 Y:-47 Z:944
X:-41 Y:-59 Z:940
X:-52 Y:-59 Z:946
X:-40 Y:-44 Z:940
X:-43 Y:-53 Z:937
X:-57 Y:-54 Z:946
X:-44 Y:-49 Z:952
X:-42 Y:-52 Z:940
X:-50 Y:-58 Z:943
X:-43 Y:-60 Z:947
X:-45 Y:-57 Z:936
X:-48 Y:-54 Z:932
X:-45 Y:-47 Z:955
X:-42 Y:-51 Z:940
X:-46 Y:-52 Z:944
X:-50 Y:-57 Z:932
X:-39 Y:-59 Z:947
X:-44 Y:-52 Z:947
X:-44 Y:-48 Z:946
X:-39 Y:-57 Z:945
X:-38 Y:-62 Z:935
X:-41 Y:-62 Z:943
X:-37 Y:-57 Z:962
X:-42 Y:-59 Z:954
X:-44 Y:-57 Z:945
X:-40 Y:-56 Z:937
X:-42 Y:-45 Z:945
X:-46 Y:-51 Z:951
X:-48 Y:-54 Z:949
X:-45 Y:-57 Z:954
X:-41 Y:-52 Z:937
X:-47 Y:-50 Z:939
X:-44 Y:-56 Z:946
X:-40 Y:-40 Z:935
X:-40 Y:-55 Z:942
X:-44 Y:-48 Z:934
X:-43 Y:-53 Z:944
X:-48 Y:-53 Z:940
